,Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
141,141,3,09/08/18,03:30:00 PM,Sat,(8) Notre Dame,24,,Ball State,16,Notre Dame Stadium - South Bend Indiana
142,142,3,09/08/18,03:30:00 PM,Sat,(4) Ohio State,52,,Rutgers,3,Ohio Stadium - Columbus Ohio
143,143,3,09/08/18,01:00:00 PM,Sat,(6) Oklahoma,49,,UCLA,21,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
144,144,3,09/08/18,08:00:00 PM,Sat,Oklahoma State,55,,South Alabama,13,Boone Pickens Stadium - Stillwater Oklahoma
145,145,3,09/08/18,02:00:00 PM,Sat,(23) Oregon,62,,Portland State,14,Autzen Stadium - Eugene Oregon
146,146,3,09/08/18,08:00:00 PM,Sat,Oregon State,48,,Southern Utah,25,Reser Stadium - Corvallis Oregon
147,147,3,09/08/18,08:00:00 PM,Sat,(13) Penn State,51,@,Pittsburgh,6,Heinz Field - Pittsburgh Pennsylvania
148,148,3,09/08/18,09:00:00 PM,Sat,San Diego State,28,,Sacramento State,14,SDCCU Stadium - San Diego California
149,149,3,09/08/18,12:00:00 PM,Sat,South Florida,49,,Georgia Tech,38,Raymond James Stadium - Tampa Florida
150,150,3,09/08/18,08:30:00 PM,Sat,(10) Stanford,17,,(17) Southern California,3,Stanford Stadium - Stanford California
151,151,3,09/08/18,03:30:00 PM,Sat,Syracuse,62,,Wagner,10,Carrier Dome - Syracuse New York
152,152,3,09/08/18,04:00:00 PM,Sat,Tennessee,59,,East Tennessee State,3,Neyland Stadium - Knoxville Tennessee
153,153,3,09/08/18,08:00:00 PM,Sat,Texas,28,,Tulsa,21,Darrell K Royal-Texas Memorial Stadium - Austin Texas
154,154,3,09/08/18,07:00:00 PM,Sat,Texas State,36,,Texas Southern,20,Bobcat Stadium - San Marcos Texas
155,155,3,09/08/18,04:00:00 PM,Sat,Texas Tech,77,,Lamar,0,Jones AT&T Stadium - Lubbock Texas
